PART,MTYP,NB. OF ELEMENTS,INPUT     ELEM. MASS,ADDED INIT MASS SCALE,ADDED DYN. MASS SCALE,ADDED NON-STRU. MASS,ADDED   MASSTRIM,ADDED NODAL MASS,FINAL     ELEM. MASS,FINAL NODAL MASS,Percentage Increased
180000,105,2610,0.7539,6.406e-06,7.198e-05,0.0,0.0,0.0,0.7539,0.765,0.0
180100,105,499,0.1887,0.0,2.423e-05,0.0,0.0,0.0,0.1887,0.1957,0.0
182000,105,2694,0.7778,2.61e-05,4.546e-05,0.0,0.0,0.0,0.7779,0.7911,0.0128567755206979
183500,105,757,0.1902,9.918e-07,0.0,0.0,0.0,0.0,0.1902,0.1902,0.0
184000,105,588,0.1466,0.0,0.0,0.0,0.0,0.0,0.1466,0.1466,0.0
185100,105,358,0.1141,1.688e-05,3.356e-05,0.0,0.0,0.0,0.1142,0.1152,0.087642418930765
186000,105,3017,1.399,1.295e-06,0.0,0.0,0.0,0.0,1.399,1.399,0.0
186100,105,752,0.3687,0.0,0.0,0.0,0.0,0.0,0.3687,0.3687,0.0
186500,105,2698,0.9881,0.0,0.0,0.0,0.0,0.0,0.9881,0.9896,0.0
187300,105,2935,1.109,5.617e-06,0.0,0.0,0.0,0.0,1.109,1.109,0.0
188350,105,1797,0.555,1.107e-05,0.0,0.0,0.0,0.0,0.555,0.5557,0.0
188600,105,2969,1.076,0.0,0.0,0.0,0.0,0.0,1.076,1.076,0.0
189000,105,1066,0.231,2.069e-06,0.0,0.0,0.0,0.0,0.231,0.231,0.0
199999,301,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250000,105,12444,3.276,7.751e-06,0.001025,0.0,0.0,0.0,3.277,3.325,0.0305250305250407
250001,105,186,0.0501,0.0,0.0001615,0.0,0.0,0.0,0.05026,0.05156,0.3193612774451106
250100,105,4732,1.618,0.0,1.373e-05,0.0,0.0,0.0,1.618,1.623,0.0
250200,105,972,0.2678,1.162e-05,0.0,0.0,0.0,0.0,0.2678,0.2678,0.0
280120,99,7,0.009501,0.0,0.0,0.0,0.0,0.0,0.009501,0.009363,0.0
280130,99,115,0.09365,0.0,0.0,0.0,0.0,0.0,0.09365,0.09379,0.0
280502,105,78495,12.29,6.173e-05,0.02784,0.0,0.0,0.0,12.32,12.49,0.2441008950366244
282000,105,20261,5.706,1.343e-05,0.0006512,0.0,0.0,0.0,5.707,5.738,0.0175254118471686
282001,105,145,0.04213,0.0,2.22e-05,0.0,0.0,0.0,0.04215,0.04338,0.0474721101352935
283000,105,10622,3.046,8.497e-06,7.528e-05,0.0,0.0,0.0,3.046,3.054,0.0
283010,105,397,0.14,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0
283020,105,397,0.14,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0
283030,105,397,0.14,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0
283040,105,397,0.14,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0
283100,105,9483,3.068,3.433e-05,7.579e-05,0.0,0.0,0.0,3.068,3.088,0.0
283200,105,3452,1.684,0.0,0.0,0.0,0.0,0.0,1.684,1.684,0.0
283300,105,3545,1.695,1.673e-05,0.0,0.0,0.0,0.0,1.695,1.695,0.0
284000,105,766,0.2259,0.0,0.0,0.0,0.0,0.0,0.2259,0.2259,0.0
285000,105,3394,1.18,0.0,0.0,0.0,0.0,0.0,1.18,1.185,0.0
287000,105,3744,1.24,0.0,6.752e-06,0.0,0.0,0.0,1.24,1.248,0.0
287300,105,1378,0.4657,0.0,0.0,0.0,0.0,0.0,0.4657,0.4656,0.0
288000,105,8562,2.377,1.251e-05,0.0002288,0.0,0.0,0.0,2.377,2.378,0.0
310030,105,64100,9.074,7.556e-06,0.05479,0.0,0.0,0.0,9.128,9.278,0.5951068988318302
310031,105,208,0.09419,0.0,0.0,0.0,0.0,0.0,0.09419,0.08339,0.0
340041,105,5695,0.85,7.131e-06,0.01213,0.0,0.0,0.0,0.8621,0.8836,1.423529411764706
342100,105,611,0.1298,0.0,0.0,0.0,0.0,0.0,0.1298,0.1298,0.0
342200,105,2686,0.4122,0.0,0.0,0.0,0.0,0.0,0.4122,0.4122,0.0
343000,105,4590,1.01,5.843e-06,0.003604,0.0,0.0,0.0,1.014,1.029,0.3960396039603964
